user_id,book_id,rating,predict
631,2752,4,3.6
631,3012,4,7.33333308651637
631,4086,4,6.3749994352883785
631,4300,4,7.499998292000556
631,4879,4,7.142846617188999
631,5104,4,6.499998093716016
631,6047,4,4.0
631,6094,4,6.947330111707055
631,7033,3,6.461538316993899
631,7356,4,5.651159751003314
631,7390,3,6.774192857960333
631,7652,4,7.838708855835921
631,7889,3,6.55813625031459
631,8017,4,6.934781804767352
631,8193,3,7.703702478797656
631,8515,3,6.896508872091926
631,8576,4,6.894736474288026
631,8813,3,7.538460525089976
