user_id,book_id,rating,predict
24980,858,4,1.000003115192802
24980,1191,3,7.9999988499285895
24980,1304,4,7.814984086529364e-07
24980,1341,4,7.999996186763703
24980,1363,4,7.814984086529364e-07
24980,1377,4,7.999999189837478
24980,1394,4,7.814984086529364e-07
24980,1450,4,8.999997416527053
24980,1479,3,8.999997416527053
24980,1494,4,7.999998421002664
24980,1519,5,8.999999262436564
24980,1602,4,8.999997416527053
24980,1630,4,8.999997416527053
24980,1686,4,7.999999708719271
24980,1690,2,8.999997416527053
24980,6829,3,4.0
24980,7187,3,-0.9999938383087867
24980,7662,4,8.999996279000646
