user_id,book_id,rating,predict
23221,2258,3,4.090325214256989
23221,3191,5,4.720369753566949
23221,3436,2,4.105567064298495
23221,3825,3,4.167891217886113
23221,4173,4,3.8370142558303284
23221,4486,2,3.234604262686747
23221,5679,2,4.364110619178737
23221,5753,4,4.144634154836673
23221,6077,5,4.205895065330054
23221,6331,2,3.6632226601444255
23221,6419,4,3.751301857014407
23221,6431,4,4.253717461969245
23221,6446,4,4.4548929865026645
23221,6527,4,4.796826805542474
23221,6769,4,3.4322979964159153
23221,6890,5,4.297887893079793
23221,7120,5,4.541297768688796
23221,7300,4,4.2847119925997115
