user_id,book_id,rating,predict
22475,532,5,4.654046942440837
22475,974,4,2.886279743657687
22475,1077,5,4.18350634434389
22475,1199,2,4.374670289520928
22475,1205,5,4.193449315015306
22475,1236,2,3.0468331002531337
22475,1315,4,4.376129716389036
22475,1392,4,4.022807320012561
22475,1519,5,4.376979891420497
22475,1727,5,4.534922997244642
22475,1827,5,4.551138719502767
22475,1895,5,4.626734015932455
22475,1977,5,4.474890665176828
22475,2193,2,2.423432000739931
22475,5269,4,4.210045916740626
22475,6567,4,4.443395268739415
22475,6966,4,4.309932551586227
22475,8489,4,3.1231032665713716
22475,8626,5,3.682324932324803
22475,9461,5,4.7279499444770074
