user_id,book_id,rating,predict
24903,299,4,4.0375
24903,448,3,4.0375
24903,582,4,2.0441263750363152
24903,659,4,4.0375
24903,1258,4,0.03753561935672378
24903,1279,5,5.605659353782845
24903,1301,4,4.0375
24903,1388,5,0.9971574377390398
24903,1420,2,1.9072137897993593
24903,1555,2,4.483654044599303
24903,1662,2,4.079585726793901
24903,1755,5,7.23766763031642
24903,1855,4,7.3259912533061495
24903,1961,5,1.8605493606841472
24903,2073,4,8.044119443009391
24903,2094,5,7.418547258108412
24903,2103,3,8.038354362275582
24903,2240,3,2.44803799480267
24903,2247,4,8.40121027999254
24903,2264,5,7.850364833722191
24903,2342,2,6.725391778294377
24903,2517,4,7.468367415918094
24903,2559,4,7.30998711981308
24903,2591,4,7.212121937003411
24903,2673,5,7.884962711509324
24903,2724,3,7.823677633682042
24903,2839,5,7.063636711019154
24903,2859,4,7.218645863178208
24903,2874,4,8.312761568553992
24903,2934,2,4.0375
24903,2942,5,8.172810240247575
24903,2988,4,7.82223678442744
24903,3029,5,7.642262677673315
24903,3090,5,6.993216047480271
24903,3101,3,8.232248022882832
