user_id,book_id,rating,predict
23863,752,5,8.564496362716902
23863,796,3,7.691240444638675
23863,842,3,7.3782648156564905
23863,886,5,8.109541964405437
23863,928,5,8.14129586229577
23863,938,4,8.619612513606246
23863,1264,5,8.363563886543734
23863,1308,4,8.713464621297419
23863,1341,5,8.254510403562804
23863,1366,4,8.29269404490497
23863,1375,5,7.5375554487127
23863,3481,4,3.9056603773584904
23863,5280,4,3.9056603773584904
23863,5360,3,8.298017553267899
23863,6971,4,-1.094336805982377
23863,7284,4,6.414616595751547
23863,7373,3,8.458325105663615
23863,7452,4,7.6824246374394285
23863,8020,4,8.070176266841592
23863,8959,3,7.859588639902531
23863,9242,3,8.193275790793443
23863,9712,5,8.703069040123717
23863,9964,4,8.176426164575997
